StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
106,9.340659340659341,2,3,2,90,4.8,Yes,Yes,72,87,Placed
107,7.362637362637363,0,1,1,74,3.9,No,No,55,70,NotPlaced
108,7.142857142857143,0,1,0,82,4.4,No,No,65,69,NotPlaced
109,8.901098901098901,1,3,2,90,4.8,Yes,Yes,79,84,Placed
110,9.56043956043956,2,3,2,90,4.8,Yes,Yes,79,85,Placed
111,8.791208791208792,1,1,3,84,4.0,No,Yes,57,61,Placed
112,8.021978021978022,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced
113,8.131868131868133,1,1,1,81,4.1,Yes,No,55,62,NotPlaced
114,9.45054945054945,2,3,0,81,4.7,Yes,No,71,83,Placed
115,7.362637362637363,2,1,2,76,4.8,Yes,No,55,78,NotPlaced
116,8.351648351648352,1,1,1,67,3.5,No,No,55,67,NotPlaced
117,9.670329670329672,1,3,2,90,4.6,Yes,Yes,83,83,Placed
118,7.142857142857143,1,2,0,65,4.4,No,Yes,61,68,NotPlaced
119,7.142857142857143,1,2,1,78,4.2,No,No,62,62,NotPlaced
120,8.131868131868133,1,2,1,75,4.2,No,Yes,55,74,NotPlaced
121,9.56043956043956,2,3,2,81,4.7,Yes,Yes,85,79,Placed
122,8.791208791208792,1,1,1,68,4.2,No,Yes,59,66,NotPlaced
123,8.461538461538462,1,3,2,90,4.8,Yes,No,80,85,Placed
124,8.021978021978022,1,1,0,64,3.2,No,Yes,58,67,NotPlaced
125,9.230769230769232,2,1,2,76,4.1,No,No,56,63,Placed
126,8.461538461538462,1,2,0,73,4.0,No,Yes,65,75,Placed
127,8.241758241758243,1,1,1,68,4.7,No,No,58,64,NotPlaced
128,8.131868131868133,0,1,0,79,4.3,No,No,63,73,NotPlaced
129,8.131868131868133,1,1,1,64,4.3,No,Yes,73,73,Placed
130,9.340659340659341,1,2,2,90,4.8,Yes,Yes,80,86,Placed
131,8.791208791208792,1,3,0,80,4.4,Yes,Yes,85,84,Placed
132,7.142857142857143,1,1,1,72,3.8,No,No,64,67,NotPlaced
133,9.230769230769232,1,1,0,81,4.6,Yes,No,78,82,Placed
134,9.56043956043956,0,3,2,88,4.8,No,No,87,84,Placed
135,8.791208791208792,0,1,0,60,4.0,No,No,57,70,NotPlaced
136,9.230769230769232,2,3,1,88,4.6,Yes,Yes,74,82,Placed
137,9.010989010989011,2,3,2,90,4.4,Yes,Yes,90,81,Placed
138,8.901098901098901,2,2,2,90,4.5,Yes,Yes,73,82,Placed
139,8.681318681318682,1,3,1,75,3.7,No,Yes,62,65,Placed
140,9.780219780219781,2,3,2,90,4.8,Yes,Yes,69,85,Placed
141,7.142857142857143,1,1,1,72,4.5,No,No,66,70,NotPlaced
142,8.351648351648352,1,1,0,73,4.3,No,Yes,55,76,Placed
143,9.230769230769232,1,3,2,90,4.6,Yes,Yes,67,80,Placed
144,8.571428571428571,2,3,0,77,4.8,Yes,Yes,79,87,Placed
145,9.230769230769232,1,2,1,74,4.3,Yes,Yes,59,80,Placed
146,8.351648351648352,1,2,0,74,3.7,No,Yes,58,74,Placed
147,8.681318681318682,1,1,1,62,4.6,Yes,Yes,87,82,Placed
148,8.681318681318682,1,3,1,80,4.2,Yes,Yes,56,82,Placed
149,8.791208791208792,2,1,2,90,4.8,Yes,Yes,74,81,Placed
150,8.681318681318682,2,1,0,83,4.0,Yes,Yes,63,70,Placed
151,9.230769230769232,2,3,2,90,4.8,Yes,Yes,90,85,Placed
152,9.45054945054945,0,3,2,90,4.8,Yes,Yes,73,78,Placed
153,8.571428571428571,0,1,0,81,3.9,Yes,Yes,79,65,Placed
154,8.901098901098901,2,3,3,90,4.8,Yes,Yes,80,83,Placed
155,7.912087912087913,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced
156,8.461538461538462,0,1,0,81,4.8,Yes,Yes,69,63,Placed
157,9.230769230769232,1,3,2,90,4.5,Yes,Yes,79,86,Placed
158,8.791208791208792,1,3,1,87,4.6,Yes,Yes,72,83,Placed
159,8.571428571428571,0,1,1,72,4.0,No,No,61,69,Placed
160,7.142857142857143,1,1,0,63,3.5,No,No,56,64,NotPlaced
161,7.142857142857143,0,3,0,71,3.6,No,Yes,57,74,NotPlaced
162,8.681318681318682,1,2,1,81,4.0,Yes,Yes,60,71,Placed
163,7.362637362637363,1,1,0,75,4.2,No,No,56,64,NotPlaced
164,7.582417582417583,0,1,0,73,4.1,No,Yes,55,69,Placed
165,7.142857142857143,1,1,2,85,4.3,Yes,No,62,72,Placed
166,7.142857142857143,0,1,1,79,3.9,No,No,55,66,NotPlaced
167,8.021978021978022,1,1,1,71,3.6,No,No,65,64,NotPlaced
168,9.120879120879122,2,3,0,71,4.6,Yes,Yes,77,82,Placed
169,8.241758241758243,1,1,1,74,3.9,No,No,63,65,NotPlaced
170,8.791208791208792,2,3,3,76,4.1,Yes,Yes,78,61,Placed
171,9.120879120879122,1,2,1,69,3.8,No,Yes,76,71,Placed
172,7.252747252747253,0,3,0,87,4.5,No,No,80,82,Placed
173,8.131868131868133,0,3,0,90,4.6,No,No,65,70,NotPlaced
174,8.791208791208792,1,1,1,78,4.4,No,No,66,68,Placed
175,8.791208791208792,2,3,2,90,4.8,Yes,Yes,78,86,Placed
176,7.362637362637363,1,2,0,73,4.5,No,Yes,55,65,NotPlaced
177,9.120879120879122,1,2,3,78,3.8,Yes,No,67,65,Placed
178,9.340659340659341,1,3,2,90,4.8,Yes,Yes,61,86,Placed
179,8.241758241758243,2,1,2,90,4.8,Yes,No,55,65,NotPlaced
180,8.131868131868133,1,1,0,60,3.4,No,No,58,62,NotPlaced
181,9.230769230769232,0,1,2,88,4.8,Yes,Yes,74,82,Placed
182,9.010989010989011,1,3,0,82,4.8,Yes,Yes,70,73,Placed
183,7.142857142857143,1,1,0,74,4.2,No,Yes,74,61,NotPlaced
184,8.461538461538462,1,1,0,71,4.7,No,Yes,57,69,NotPlaced
185,8.021978021978022,1,2,2,67,4.5,No,No,63,66,NotPlaced
186,7.142857142857143,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced
187,7.142857142857143,1,1,1,68,4.1,No,No,55,65,NotPlaced
188,8.241758241758243,1,1,0,76,4.3,No,Yes,73,79,Placed
189,8.571428571428571,1,1,1,65,3.9,No,No,55,70,NotPlaced
190,7.472527472527473,1,1,0,78,4.3,No,No,61,62,NotPlaced
191,9.230769230769232,2,3,2,90,4.1,Yes,Yes,76,82,Placed
192,8.571428571428571,2,2,2,80,4.6,No,Yes,59,74,Placed
193,8.241758241758243,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced
194,9.780219780219781,0,1,2,80,4.8,Yes,Yes,75,82,Placed
195,7.142857142857143,0,1,0,75,3.7,No,No,58,62,NotPlaced
196,9.230769230769232,1,1,2,87,4.1,No,No,78,70,Placed
197,8.901098901098901,0,1,0,71,3.6,Yes,No,69,67,Placed
198,9.340659340659341,2,3,0,86,4.2,Yes,Yes,60,85,Placed
199,8.351648351648352,1,1,1,82,4.8,Yes,Yes,79,86,Placed
200,8.571428571428571,2,3,0,79,4.3,Yes,No,87,87,Placed
201,9.45054945054945,1,3,2,90,4.7,Yes,Yes,68,84,Placed
202,8.681318681318682,2,3,2,76,4.6,Yes,Yes,79,82,Placed
203,7.142857142857143,0,2,2,75,4.5,Yes,No,65,59,NotPlaced
204,9.010989010989011,0,2,1,82,4.5,Yes,Yes,78,87,Placed
205,9.010989010989011,1,1,0,81,4.3,Yes,Yes,60,70,Placed
206,8.351648351648352,1,1,0,64,4.1,No,No,69,67,NotPlaced
207,8.021978021978022,1,2,1,84,4.6,No,Yes,55,72,NotPlaced
208,9.230769230769232,2,3,2,90,4.5,Yes,Yes,85,79,Placed
209,9.120879120879122,2,3,3,90,4.5,Yes,Yes,70,88,Placed
210,8.571428571428571,1,3,0,88,4.8,Yes,Yes,70,78,Placed
211,9.120879120879122,1,2,1,82,4.7,Yes,Yes,77,84,Placed
212,8.241758241758243,1,1,1,69,4.1,No,No,55,75,NotPlaced
213,9.45054945054945,2,3,2,78,4.8,Yes,Yes,82,81,Placed
214,8.571428571428571,2,2,2,77,4.2,Yes,No,57,69,Placed
215,7.252747252747253,1,1,1,71,4.3,No,No,70,66,NotPlaced
216,8.131868131868133,0,1,1,70,4.2,No,No,61,70,NotPlaced
217,7.582417582417583,1,2,1,74,4.1,No,No,55,69,NotPlaced
218,7.252747252747253,1,1,0,77,4.5,No,No,62,70,NotPlaced
219,9.120879120879122,1,2,2,88,4.1,Yes,Yes,80,79,Placed
220,8.681318681318682,2,2,2,88,4.8,Yes,Yes,81,85,Placed
221,7.252747252747253,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced
222,8.791208791208792,2,3,2,86,4.8,Yes,Yes,62,83,Placed
223,8.241758241758243,1,2,0,86,3.8,No,No,55,68,NotPlaced
224,8.681318681318682,2,3,2,90,4.8,Yes,No,81,78,Placed
225,9.120879120879122,1,3,2,78,3.9,Yes,Yes,60,61,Placed
226,8.131868131868133,1,1,0,74,3.5,No,Yes,67,62,NotPlaced
227,8.791208791208792,2,2,2,87,3.8,Yes,Yes,79,78,Placed
228,9.56043956043956,2,3,2,87,4.7,Yes,Yes,80,84,Placed
229,8.131868131868133,1,2,0,77,4.5,No,Yes,66,86,NotPlaced
230,8.681318681318682,2,3,2,90,4.8,Yes,Yes,83,88,Placed
231,8.241758241758243,1,1,1,70,4.6,No,No,59,66,NotPlaced
232,8.131868131868133,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced
233,8.461538461538462,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced
234,8.571428571428571,0,1,1,70,3.8,No,Yes,73,73,Placed
235,8.241758241758243,2,3,0,88,4.6,Yes,Yes,79,83,Placed
236,9.010989010989011,2,3,1,69,4.0,Yes,Yes,77,82,Placed
237,8.571428571428571,1,3,2,75,4.3,Yes,Yes,77,86,Placed
238,8.351648351648352,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced
239,9.340659340659341,2,3,2,90,4.8,Yes,Yes,80,79,Placed
240,7.362637362637363,0,1,1,71,4.7,No,Yes,76,70,Placed
241,8.351648351648352,1,3,0,82,4.5,No,Yes,56,72,NotPlaced
242,8.351648351648352,0,2,0,80,3.7,Yes,No,85,61,NotPlaced
243,8.021978021978022,1,2,0,71,4.4,No,Yes,58,67,NotPlaced
244,8.901098901098901,1,2,1,78,3.5,No,Yes,71,70,Placed
245,8.351648351648352,2,3,0,88,4.4,No,Yes,80,68,Placed
246,8.131868131868133,1,2,0,77,3.8,No,Yes,59,63,NotPlaced
247,9.230769230769232,0,2,1,85,4.3,Yes,Yes,62,81,Placed
248,7.362637362637363,1,2,1,73,4.3,No,Yes,71,66,NotPlaced
249,7.142857142857143,1,1,0,70,4.7,No,Yes,79,64,NotPlaced
250,8.131868131868133,1,2,1,68,3.4,No,Yes,57,61,NotPlaced
251,9.230769230769232,2,3,1,76,4.1,Yes,Yes,68,64,Placed
252,7.142857142857143,1,1,0,68,4.3,No,Yes,55,70,NotPlaced
253,7.252747252747253,1,2,1,82,4.4,Yes,Yes,74,82,Placed
254,8.901098901098901,0,2,2,80,4.4,Yes,No,82,85,Placed
255,7.142857142857143,1,1,0,74,4.2,No,No,59,65,NotPlaced
256,9.340659340659341,1,3,2,75,4.5,Yes,Yes,75,84,Placed
257,9.56043956043956,2,3,2,90,4.8,Yes,Yes,83,81,Placed
258,8.241758241758243,1,2,3,86,4.8,No,Yes,60,67,NotPlaced
259,8.901098901098901,2,3,2,90,4.8,Yes,Yes,86,88,Placed
260,9.010989010989011,1,3,1,83,4.1,Yes,Yes,77,83,Placed
261,9.56043956043956,2,1,0,66,4.8,Yes,No,70,59,Placed
262,7.252747252747253,0,1,2,72,4.2,No,Yes,86,88,Placed
263,8.901098901098901,0,2,3,78,4.1,Yes,Yes,81,78,Placed
264,7.142857142857143,1,3,0,80,3.7,No,No,59,66,NotPlaced
265,8.131868131868133,1,1,0,88,4.5,No,Yes,76,71,Placed
266,9.010989010989011,2,3,2,80,4.8,Yes,Yes,79,84,Placed
267,7.472527472527473,2,2,2,80,4.6,No,Yes,61,69,NotPlaced
268,8.791208791208792,1,2,1,76,4.5,No,Yes,68,75,Placed
269,9.340659340659341,1,3,0,82,4.4,Yes,Yes,68,88,Placed
270,7.252747252747253,1,2,1,65,4.1,No,No,56,58,NotPlaced
271,9.230769230769232,1,2,0,79,3.8,No,Yes,60,64,Placed
272,8.571428571428571,1,1,1,79,3.7,No,Yes,56,59,Placed
273,8.461538461538462,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced
274,7.472527472527473,1,1,0,73,3.7,No,Yes,55,65,NotPlaced
275,8.021978021978022,1,2,1,71,4.7,No,No,59,57,NotPlaced
276,7.142857142857143,2,2,2,79,4.5,Yes,Yes,83,87,Placed
277,9.120879120879122,2,1,1,83,4.5,Yes,Yes,82,86,Placed
278,8.021978021978022,1,2,1,79,3.8,No,Yes,58,73,NotPlaced
279,7.472527472527473,1,2,1,65,3.9,Yes,Yes,71,85,Placed
280,9.56043956043956,1,3,2,90,4.8,Yes,Yes,69,88,Placed
281,9.120879120879122,2,3,1,90,4.8,Yes,No,55,80,Placed
282,9.010989010989011,1,2,1,79,3.8,Yes,Yes,55,70,Placed
283,9.010989010989011,1,1,2,86,4.4,No,No,76,82,Placed
284,9.340659340659341,0,2,0,81,3.2,No,Yes,55,63,Placed
285,8.791208791208792,0,1,1,87,3.8,No,Yes,55,71,Placed
286,8.681318681318682,1,1,0,77,4.7,Yes,Yes,64,60,Placed
287,8.461538461538462,1,1,2,82,4.4,No,No,55,70,NotPlaced
288,8.351648351648352,0,3,3,75,4.3,Yes,Yes,82,87,Placed
289,7.362637362637363,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced
290,9.340659340659341,0,2,2,75,4.5,Yes,No,76,83,Placed
291,9.670329670329672,1,2,2,90,4.8,Yes,No,75,88,Placed
292,7.142857142857143,2,3,1,82,4.6,Yes,No,83,63,NotPlaced
293,8.241758241758243,0,1,1,80,4.2,Yes,No,84,64,NotPlaced
294,8.461538461538462,2,3,2,78,4.6,Yes,Yes,78,83,Placed
295,8.461538461538462,0,1,0,79,4.8,No,Yes,58,71,NotPlaced
296,9.45054945054945,1,1,2,84,4.3,Yes,Yes,57,82,Placed
297,8.241758241758243,0,2,0,69,3.6,No,No,61,59,NotPlaced
298,7.472527472527473,1,1,0,68,4.3,No,Yes,65,69,NotPlaced
299,8.901098901098901,0,3,2,90,4.8,Yes,Yes,69,84,Placed
300,9.230769230769232,2,3,3,82,4.5,Yes,No,82,85,Placed
301,8.241758241758243,1,1,0,67,3.4,No,No,65,71,NotPlaced
302,8.901098901098901,1,3,0,70,4.8,Yes,No,71,72,Placed
303,8.131868131868133,1,1,1,64,4.0,No,No,55,62,NotPlaced
304,9.230769230769232,2,3,2,80,4.6,Yes,Yes,72,79,Placed
305,9.010989010989011,0,3,2,90,4.8,Yes,Yes,79,80,Placed
306,8.791208791208792,1,2,1,80,4.3,No,Yes,71,61,Placed
307,8.681318681318682,0,3,2,90,4.8,Yes,Yes,68,83,Placed
308,7.472527472527473,0,1,0,77,3.3,No,No,64,69,NotPlaced
309,9.120879120879122,2,3,2,82,4.6,Yes,Yes,76,85,Placed
310,8.131868131868133,1,2,1,75,4.3,No,Yes,55,85,NotPlaced
311,8.351648351648352,1,1,0,66,4.1,No,Yes,62,73,NotPlaced
312,9.340659340659341,2,3,1,90,4.8,Yes,Yes,78,82,Placed
313,9.010989010989011,2,3,2,90,4.6,Yes,Yes,77,88,Placed
314,9.010989010989011,1,3,2,90,4.3,No,Yes,77,82,Placed
315,7.142857142857143,1,1,0,79,3.6,No,Yes,55,64,NotPlaced
316,8.241758241758243,1,1,2,82,4.5,Yes,Yes,77,84,Placed
317,8.241758241758243,1,2,1,85,4.1,No,Yes,71,84,Placed
318,7.252747252747253,0,1,1,67,4.3,No,Yes,56,65,NotPlaced
319,8.351648351648352,1,1,1,88,4.5,Yes,Yes,83,86,Placed
320,8.241758241758243,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced
321,8.241758241758243,0,2,1,66,4.5,No,Yes,61,71,Placed
322,9.340659340659341,2,3,1,85,4.3,Yes,Yes,88,80,Placed
323,8.681318681318682,2,1,0,71,4.8,No,Yes,56,66,Placed
324,9.010989010989011,0,2,0,85,4.1,Yes,No,57,70,Placed
325,7.912087912087913,1,2,0,69,4.0,No,Yes,55,61,NotPlaced
326,9.45054945054945,2,3,2,90,4.8,Yes,Yes,75,84,Placed
327,7.142857142857143,1,1,1,78,3.9,No,Yes,67,73,Placed
328,9.56043956043956,1,3,0,86,4.5,Yes,Yes,77,81,Placed
329,8.571428571428571,1,2,0,78,4.8,Yes,Yes,75,65,Placed
330,8.461538461538462,1,1,0,80,4.0,No,Yes,55,66,NotPlaced
331,7.142857142857143,0,2,0,80,4.6,Yes,Yes,62,86,Placed
332,9.340659340659341,1,2,1,71,3.8,Yes,Yes,78,69,Placed
333,8.131868131868133,2,3,0,86,4.6,Yes,Yes,75,72,Placed
334,9.45054945054945,1,3,2,81,4.8,Yes,Yes,71,82,Placed
335,8.791208791208792,1,2,1,88,3.6,No,Yes,69,69,Placed
336,8.571428571428571,1,3,1,89,4.6,Yes,Yes,73,79,Placed
337,8.901098901098901,1,3,2,90,4.7,Yes,No,72,87,Placed
338,7.912087912087913,1,2,0,83,4.5,No,Yes,74,69,NotPlaced
339,9.230769230769232,2,3,2,87,4.8,Yes,Yes,78,88,Placed
340,9.230769230769232,0,3,2,85,4.6,Yes,Yes,90,79,Placed
341,9.120879120879122,0,3,1,88,4.7,Yes,Yes,69,80,Placed
342,7.912087912087913,0,2,1,66,3.9,No,No,67,69,NotPlaced
343,9.45054945054945,2,3,2,90,4.8,Yes,Yes,77,86,Placed
344,8.681318681318682,2,1,0,73,4.2,No,No,56,71,Placed
345,7.252747252747253,1,1,2,81,4.8,Yes,No,68,71,NotPlaced
346,7.802197802197803,1,1,1,63,3.6,No,Yes,58,68,NotPlaced
347,8.571428571428571,0,3,0,90,4.7,Yes,Yes,72,69,Placed
348,7.252747252747253,1,1,1,81,4.0,No,No,73,72,Placed
349,7.142857142857143,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced
350,8.241758241758243,2,1,0,83,4.6,Yes,No,58,81,NotPlaced
351,8.241758241758243,1,2,0,70,3.7,No,Yes,55,66,NotPlaced
352,8.571428571428571,0,2,2,74,4.6,Yes,Yes,58,60,Placed
353,7.252747252747253,1,2,0,71,4.0,No,No,55,68,Placed
354,8.131868131868133,1,2,0,72,4.3,No,Yes,55,62,NotPlaced
355,8.571428571428571,1,3,2,77,4.2,Yes,No,77,82,Placed
356,9.010989010989011,2,3,2,90,4.8,Yes,Yes,89,84,Placed
357,9.780219780219781,2,3,2,89,4.6,Yes,Yes,71,83,Placed
358,9.010989010989011,1,2,1,90,4.8,Yes,Yes,78,71,Placed
359,8.241758241758243,1,3,0,70,4.2,No,Yes,60,68,NotPlaced
360,8.461538461538462,1,2,0,68,3.9,No,Yes,62,63,NotPlaced
361,9.56043956043956,1,3,2,90,4.7,Yes,Yes,81,80,Placed
362,8.241758241758243,1,1,1,65,4.4,No,Yes,55,60,NotPlaced
363,7.252747252747253,1,1,1,82,3.7,No,Yes,55,60,Placed
364,8.131868131868133,2,3,1,84,4.8,No,Yes,77,68,Placed
365,8.241758241758243,0,3,2,90,4.8,Yes,Yes,82,81,Placed
366,9.010989010989011,1,1,1,79,4.6,No,Yes,55,61,Placed
